Switzerland;Female;1956
Netherlands;Female;1957
France;Male;1958
Netherlands;Female;1959
France;Female;1960
Luxembourg;Male;1961
France;Female;1962
Denmark;Group: Mixed;1963
Italy;Female;1964
Luxembourg;Female;1965
Austria;Male;1966
United Kingdom;Female;1967
Spain;Female;1968
Spain;Female;1969
United Kingdom;Female;1969
Netherlands;Female;1969
France;Female;1969
Ireland;Female;1970
Monaco;Female;1971
Luxembourg;Female;1972
Luxembourg;Female;1973
Sweden;Group: Mixed;1974
Netherlands;Group: Mixed;1975
United Kingdom;Group: Mixed;1976
France;Female;1977
Israel;Group: Mixed;1978
Israel;Group: Mixed;1979
Ireland;Male;1980
United Kingdom;Group: Mixed;1981
Germany;Female;1982
Luxembourg;Female;1983
Sweden;Group: Male;1984
Norway;Group: Female;1985
Belgium;Female;1986
Ireland;Male;1987
Switzerland;Female;1988
Yugoslavia;Group: Mixed;1989
Italy;Male;1990
Sweden;Female;1991
Ireland;Female;1992
Ireland;Female;1993
Ireland;Group: Male;1994
Norway;Group: Mixed;1995
Ireland;Female;1996
United Kingdom;Group: Mixed;1997
Israel;Transgender;1998
Sweden;Female;1999
Denmark;Group: Male;2000
Estonia;Group: Male;2001
Latvia;Female;2002
Turkey;Female;2003
Ukraine;Female;2004
Greece;Female;2005
Finland;Group: Male;2006
Serbia;Female;2007
Russia;Male;2008
Norway;Male;2009
Germany;Female;2010
Azerbaijan;Group: Mixed;2011
Sweden;Female;2012
Denmark;Female;2013
Austria;Transgender;2014
Sweden;Male;2015
Ukraine;Female;2016
